Price,city,History,Millage,Ratings,Make,Model,Transmission,Age
4950000.0,Lagos,foreign,161622.0,4.900000095367432,Toyota,Highlander,Automatic,13.0
2815000.0,Lagos,foreign,115327.0,4.199999809265137,Toyota,Sienna,Automatic,16.0
3615000.0,Abuja,foreign,137618.0,5.0,Kia,Soul,Automatic,11.0
3665000.0,Abuja,foreign,35154.0,5.0,Toyota,Camry,Automatic,10.0
3165000.0,Abuja,foreign,78978.0,5.0,Toyota,Camry,Automatic,14.0
1665000.0,Abuja,foreign,99873.0,5.0,Peugeot,307,Automatic,13.0
2715000.0,Lagos,foreign,154488.0,4.5,Toyota,Sienna,Automatic,17.0
5665000.0,Abuja,foreign,55201.0,5.0,Toyota,Camry,Automatic,7.0
3665000.0,Abuja,foreign,35124.0,5.0,Toyota,Camry,Automatic,10.0
11015000.0,Abuja,foreign,83998.0,5.0,Lexus,RX 350,Automatic,8.0
4215000.0,Lagos,foreign,250577.0,4.599999904632568,Mercedes-Benz,C 300,Automatic,11.0
4215000.0,Abuja,foreign,556602.0,4.900000095367432,Lexus,IS 250,Automatic,15.0
2315000.0,Abuja,foreign,85607.0,4.900000095367432,Toyota,Camry,Automatic,16.0
3015000.0,Abuja,foreign,105994.0,5.0,Toyota,Camry,Automatic,14.0
4415000.0,Lagos,foreign,85119.0,4.800000190734863,Acura,MDX,Automatic,12.0
12215000.0,Abuja,foreign,22936.0,5.0,Mercedes-Benz,E 350,Automatic,8.0
4015000.0,Lagos,foreign,184837.0,4.300000190734863,Acura,MDX,Automatic,13.0
12615000.0,Lagos,foreign,74848.0,4.900000095367432,Mercedes-Benz,GL 450,Automatic,7.0
4715000.0,Lagos,foreign,70441.0,4.800000190734863,Lexus,RX 350,Automatic,15.0
3515000.0,Lagos,foreign,50821.0,4.900000095367432,Honda,Accord,Automatic,9.0
2815000.0,Lagos,foreign,104105.0,4.800000190734863,Honda,Accord,Automatic,13.0
14515000.0,Lagos,foreign,58282.0,5.0,Mercedes-Benz,ML 350,Automatic,9.0
4015000.0,Lagos,foreign,77542.0,4.900000095367432,Toyota,4-Runner,Automatic,17.0
4845000.0,Lagos,foreign,89545.0,4.599999904632568,Lexus,RX 350,Automatic,14.0
1590000.0,Lagos,local,76443.0,4.199999809265137,Toyota,RAV 4,Automatic,15.0
5265000.0,Lagos,foreign,166024.0,4.599999904632568,Toyota,Camry,Automatic,9.0
9115000.0,Lagos,foreign,151340.0,4.599999904632568,Mercedes-Benz,GLK 350,Automatic,8.0
13015000.0,Lagos,foreign,185816.0,4.800000190734863,Mercedes-Benz,ML 350,Automatic,7.0
3585000.0,Lagos,foreign,82678.0,4.699999809265137,Toyota,Corolla,Automatic,12.0
25015000.0,Lagos,foreign,48140.0,4.900000095367432,Land,Rover Range Rover,Automatic,7.0
4320000.0,Lagos,local,284817.0,4.800000190734863,Lexus,ES 350,Automatic,13.0
4950000.0,Lagos,foreign,162368.0,4.900000095367432,Toyota,Camry,Automatic,9.0
5865000.0,Abuja,local,228000.0,4.900000095367432,Toyota,Hiace,Automatic,11.0
4425000.0,Lagos,foreign,162072.0,4.900000095367432,Lexus,GS 350,Automatic,12.0
3015000.0,Lagos,foreign,225674.0,4.900000095367432,Toyota,Sienna,Automatic,16.0
3815000.0,Lagos,foreign,210131.0,4.900000095367432,Toyota,Highlander,Automatic,16.0
4315000.0,Lagos,foreign,171574.0,4.900000095367432,Lexus,ES 350,Automatic,14.0
14015000.0,Lagos,foreign,118219.0,5.0,Mercedes-Benz,GLA 250,Automatic,6.0
2220000.0,Lagos,foreign,85778.0,5.0,Toyota,Camry,Automatic,17.0
5215000.0,Abuja,foreign,55858.0,5.0,Toyota,Sienna,Automatic,11.0
3690000.0,Lagos,foreign,177568.0,4.900000095367432,Hyundai,Elantra,Automatic,9.0
5515000.0,Abuja,foreign,72251.0,5.0,Toyota,Corolla,Automatic,6.0
22515000.0,Lagos,foreign,28160.0,4.900000095367432,Toyota,Landcruiser Prado,Automatic,6.0
4215000.0,Lagos,foreign,93887.0,4.599999904632568,Volkswagen,Golf,Automatic,15.0
6815000.0,Lagos,foreign,55647.0,4.699999809265137,Toyota,Sequoia,Automatic,13.0
3315000.0,Abuja,foreign,117994.0,5.0,Toyota,Corolla,Automatic,10.0
2765000.0,Abuja,foreign,68933.0,4.900000095367432,Toyota,Camry,Automatic,12.0
5215000.0,Lagos,foreign,53416.0,4.900000095367432,Toyota,4-Runner,Automatic,15.0
5415000.0,Lagos,foreign,43865.0,5.0,Toyota,4-Runner,Automatic,13.0
6215000.0,Lagos,foreign,96580.0,4.900000095367432,Lexus,GX 470,Automatic,15.0
2010000.0,Lagos,foreign,123552.0,4.800000190734863,Toyota,Camry,Automatic,17.0
2665000.0,Lagos,foreign,120497.0,4.699999809265137,Toyota,Sienna,Automatic,16.0
9465000.0,Lagos,foreign,62175.0,4.900000095367432,Lexus,ES 350,Automatic,7.0
4015000.0,Lagos,foreign,106871.0,4.900000095367432,Mercedes-Benz,C 300,Automatic,11.0
2325000.0,Lagos,foreign,168697.0,4.699999809265137,Acura,TL,Automatic,16.0
6710000.0,Lagos,foreign,140376.0,4.699999809265137,Toyota,Sienna,Automatic,10.0
1215000.0,Lagos,local,140082.0,4.400000095367432,Volkswagen,Touareg,Automatic,14.0
3465000.0,Lagos,foreign,200183.0,4.699999809265137,Toyota,4-Runner,Automatic,17.0
3515000.0,Abuja,foreign,72110.0,5.0,Toyota,Matrix,Automatic,11.0
4005000.0,Lagos,foreign,105178.0,4.699999809265137,Toyota,Corolla,Automatic,10.0
