,Price,Location,History,Millage,Ratings,Year,Make,Model,Transmission,Fuel
1419,"₦ 2,157,500","Ilorin - SNB                                        ,Ilorin",Foreign Used,"261,428Km",D,2005,Nissan,X-Trail,Automatic,Petrol
1420,"₦ 3,722,500",Mainland 3 - SNB,Foreign Used,"60,676Km",D,2011,Toyota,Rav4,Automatic,Petrol
1421,"₦ 1,032,500","SNB                                        ,Owerri",Nigerian Used,"122,330Km",C,2002,Nissan,Maxima,Automatic,Petrol
1422,"₦ 2,045,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"205,478Km",C,2013,Ford,Escape,Automatic,Petrol
1423,"₦ 1,280,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"152,893Km",D,2002,Toyota,Camry,Automatic,Petrol
1424,"₦ 1,088,750","Onitsha - SNB                                        ,Onitsha",Nigerian Used,"113,316Km",D,2006,Chrysler,300,Automatic,Petrol
1425,"₦ 695,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"178,682Km",D,2002,Nissan,Pathfinder,Automatic,Petrol
1426,"₦ 751,250","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,2001,E,NG-663090,Toyota,Corolla,Automatic,Petrol
1427,"₦ 2,607,500","Island - SNB                                        ,Lagos",Nigerian Used,"68,839Km",,2013,Toyota,Camry,Automatic,Petrol
1428,"₦ 1,145,000",Mainland 3 - SNB,Foreign Used,"75,538Km",D,2008,Chevrolet,Uplander,Automatic,Petrol
1429,"₦ 1,145,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"46,849Km",C,1999,Volvo,S80,Automatic,Petrol
1430,"₦ 3,620,000","Abuja - SNB                                        ,Abuja",Foreign Used,"110,671Km",D,2011,Toyota,Camry,Automatic,Petrol
1431,"₦ 5,870,000","Abuja - SNB                                        ,Abuja",Foreign Used,"28,586Km",C,2014,Toyota,Corolla,Automatic,Petrol
1432,"₦ 2,270,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"196,591Km",D,2007,Toyota,Camry,Automatic,Petrol
1433,"₦ 976,250",Mainland 3 - SNB,Nigerian Used,"117,736Km",E,2003,Honda,Pilot,Automatic,Petrol
1434,"₦ 1,370,000","SNB                                        ,Owerri",Nigerian Used,"103,850Km",C,2008,Honda,Accord,Automatic,Petrol
1435,"₦ 2,270,000","SNB                                        ,Owerri",Nigerian Used,2006,C,NG-662846,Porsche,Cayenne,Automatic,Petrol
1436,"₦ 1,763,750","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"82,908Km",D,2015,Nissan,Rogue,Automatic,Petrol
1437,"₦ 1,538,750","Abuja - SNB                                        ,Abuja",Nigerian Used,"137,546Km",C,2004,Honda,Pilot,Automatic,Petrol
1438,"₦ 2,832,500","Island - SNB                                        ,Lagos",Foreign Used,"95,257Km",D,2011,Nissan,Altima,Automatic,Petrol
1439,"₦ 2,382,500","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"167,582Km",C,2007,Toyota,Camry,Automatic,Petrol
1440,"₦ 1,482,500",Sango-Ota -SNB,Nigerian Used,"139,819Km",D,2007,Honda,Pilot,Automatic,Petrol
1441,"₦ 1,426,250","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"185,530Km",D,2007,Toyota,Corolla,Automatic,Petrol
1442,"₦ 807,500","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"197,421Km",E,1998,Toyota,Camry,Automatic,Petrol
1443,"₦ 3,507,500","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"76,885Km",C,2010,Ford,F-150,Automatic,Petrol
1444,"₦ 1,538,750","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"78,320Km",D,2010,Toyota,Corolla,Automatic,Petrol
1445,"₦ 1,426,250","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"116,855Km",C,2009,Honda,Accord,Automatic,Petrol
1446,"₦ 807,500","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"149,534Km",E,2004,Toyota,4Runner,Automatic,Petrol
1447,"₦ 1,707,500","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"28,203Km",C,2007,Nissan,Pathfinder,Automatic,Petrol
1448,"₦ 1,032,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"139,111Km",D,2009,Hyundai,Sonata,Automatic,Petrol
1449,"₦ 1,802,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"33,594Km",C,2007,Pontiac,SALOON,Automatic,Petrol
1450,"₦ 751,250","SNB                                        ,Owerri",Nigerian Used,"103,850Km",C,2005,Honda,Accord,Automatic,Petrol
1451,"₦ 920,000","Abuja - SNB                                        ,Abuja",Nigerian Used,1999,D,NG-660391,Toyota,Camry,Automatic,Petrol
1452,"₦ 470,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"239,170Km",E,2005,Mazda,6,Automatic,Petrol
1453,"₦ 346,000","Ilorin - SNB                                        ,Ilorin",Nigerian Used,"366,242Km",E,1998,Honda,Accord,Automatic,Petrol
1454,"₦ 4,295,000",Asaba - SNB,Foreign Used,"192,246Km",C,2009,Mercedes-Benz,C300,Automatic,Petrol
1455,"₦ 1,932,500","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"60,946Km",D,2013,Nissan,Qashqai,Automatic,Petrol
1456,"₦ 582,500","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"155,906Km",D,2001,Infiniti,Qx,Automatic,Petrol
1457,"₦ 1,032,500","Ibadan - SNB                                        ,Ibadan",Nigerian Used,1Km,E,2003,Mercedes-Benz,C240,Automatic,Petrol
1458,"₦ 1,585,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"154,204Km",E,2005,Mercedes-Benz,Ml350,Automatic,Petrol
1459,"₦ 807,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"206,805Km",D,2000,Honda,Odyssey,Automatic,Petrol
1460,"₦ 2,720,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"130,089Km",C,2013,Ford,Taurus,Automatic,Petrol
1461,"₦ 1,707,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"47,483Km",C,2007,Honda,Cr-V,Automatic,Petrol
1462,"₦ 1,932,500","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"71,854Km",C,2011,Hyundai,Accent,Automatic,Petrol
1463,"₦ 3,170,000","SNB                                        ,Owerri",Foreign Used,"158,967Km",E,2004,Toyota,Highlander,Automatic,Petrol
1464,"₦ 4,126,250","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"122,287Km",D,2011,Toyota,Avalon,Automatic,Petrol
1465,"₦ 1,313,750","SNB                                        ,Owerri",Nigerian Used,"299,999Km",D,2003,Toyota,Corolla,Automatic,Petrol
1466,"₦ 4,070,000",Asaba - SNB,Nigerian Used,"61,010Km",B,2014,Toyota,Corolla,Automatic,Petrol
1467,"₦ 1,257,500",Mainland 3 - SNB,Nigerian Used,"124,022Km",D,2002,Toyota,Camry,Automatic,Petrol
1468,"₦ 1,707,500","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"94,455Km",D,2006,Nissan,Maxima,Automatic,Petrol
1469,"₦ 5,946,000",Asaba - SNB,Nigerian Used,"64,861Km",D,2011,Land,Rover Range Rover Sport,Automatic,Petrol
1470,"₦ 1,201,250","Onitsha - SNB                                        ,Onitsha",Nigerian Used,"8,705Km",C,2002,Toyota,Camry,Automatic,Petrol
1471,"₦ 1,257,500","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"187,211Km",D,2003,Toyota,4Runner,Automatic,Petrol
1472,"₦ 2,270,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"76,760Km",D,2006,Land,Rover Range Rover Sport,Automatic,Petrol
1473,"₦ 7,895,000","Island - SNB                                        ,Lagos",Foreign Used,"15,005Km",E,2017,Toyota,Rav4,Automatic,Petrol
1474,"₦ 1,370,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"123,455Km",D,2003,Toyota,Camry,Automatic,Petrol
1475,"₦ 2,607,500",Mainland 3 - SNB,Foreign Used,"105,320Km",D,2008,Honda,Accord,Automatic,Petrol
1476,"₦ 1,370,000","Island - SNB                                        ,Lagos",Nigerian Used,"270,135Km",D,2007,Mitsubishi,Outlander,Automatic,Petrol
1477,"₦ 1,088,750","SNB                                        ,Owerri",Nigerian Used,"191,587Km",C,1997,Mercedes-Benz,C200,Automatic,Petrol
1478,"₦ 4,295,000","Ilorin - SNB                                        ,Ilorin",Foreign Used,"79,380Km",D,2012,Toyota,Camry,Automatic,Petrol
1479,"₦ 4,070,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"76,107Km",E,2012,Toyota,Camry,Automatic,Petrol
1480,"₦ 1,145,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"97,355Km",D,2006,Audi,A6,Automatic,Petrol
1481,"₦ 807,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"216,845Km",C,2000,Toyota,Camry,Automatic,Petrol
1482,"₦ 661,250","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"218,311Km",D,2004,Nissan,Murano,Automatic,Petrol
1483,"₦ 3,957,500","Onitsha - SNB                                        ,Onitsha",Nigerian Used,"98,327Km",C,2011,Mercedes-Benz,Ml350,Automatic,Petrol
1484,"₦ 6,207,500","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"60,579Km",C,2011,Toyota,Sienna,Automatic,Petrol
1485,"₦ 2,045,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"125,375Km",D,2006,Toyota,Camry,Automatic,Petrol
1486,"₦ 2,888,750",Asaba - SNB,Nigerian Used,1Km,D,2008,Mercedes-Benz,C300,Automatic,Petrol
1487,"₦ 1,257,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"302,006Km",D,2006,BMW,3 Series,Automatic,Petrol
1488,"₦ 1,707,500","SNB                                        ,Owerri",Foreign Used,"217,389Km",C,2001,Mercedes-Benz,Clk200,Automatic,Petrol
1489,"₦ 1,370,000",349894f5-a512-42f2-ae29-37adfe8945d2,Nigerian Used,"121,098Km",C,2003,Toyota,Camry,Automatic,Petrol
1490,"₦ 4,520,000","Ilorin - SNB                                        ,Ilorin",Nigerian Used,"37,869Km",E,2015,Kia,Cerato,Automatic,Petrol
1491,"₦ 2,270,000",Mainland 3 - SNB,Foreign Used,"84,755Km",D,2004,Toyota,Camry,Automatic,Petrol
1492,"₦ 3,282,500","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"118,423Km",C,2012,Hyundai,Sonata,Automatic,Petrol
1493,"₦ 1,370,000","SNB                                        ,Owerri",Nigerian Used,"174,243Km",D,2005,Toyota,Corolla,Automatic,Petrol
1494,"₦ 2,035,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"240,065Km",E,2006,Toyota,Avalon,Automatic,Petrol
1495,"₦ 413,750","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"249,900Km",D,2001,Peugeot,806,Automatic,Petrol
1496,"₦ 920,000",Mainland 3 - SNB,Nigerian Used,"197,890Km",D,2006,Honda,Accord,Automatic,Petrol
1497,"₦ 695,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"81,377Km",E,2002,Chrysler,Pt Cruiser,Automatic,Petrol
1498,"₦ 301,250","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"294,674Km",D,1996,Honda,Accord,Automatic,Petrol
1499,"₦ 2,157,500",Mainland 3 - SNB,Foreign Used,"88,555Km",D,2005,Toyota,Camry,Automatic,Petrol
1500,"₦ 582,500",Sango-Ota -SNB,Nigerian Used,"150,102Km",D,2004,Nissan,Murano,Automatic,Petrol
1501,"₦ 2,270,000",Mainland 3 - SNB,Nigerian Used,"132,384Km",C,2006,Toyota,Rav4,Automatic,Petrol
1502,"₦ 3,057,500",Asaba - SNB,Foreign Used,"172,719Km",C,2009,Toyota,Camry,Automatic,Petrol
1503,"₦ 4,745,000","Abuja - SNB                                        ,Abuja",Foreign Used,"157,093Km",C,2009,Mercedes-Benz,C300,Automatic,Petrol
1504,"₦ 1,763,750","Abuja - SNB                                        ,Abuja",Foreign Used,"193,826Km",C,2004,Peugeot,307,Automatic,Petrol
1505,"₦ 3,395,000","Island - SNB                                        ,Lagos",Nigerian Used,"81,223Km",D,2009,Honda,Pilot,Automatic,Petrol
1506,"₦ 1,707,500","Ilorin - SNB                                        ,Ilorin",Nigerian Used,"130,553Km",E,2006,Mercedes-Benz,Ml350,Automatic,Petrol
1507,"₦ 2,720,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"154,798Km",D,2004,Gx470,2004,Automatic,Petrol
1508,"₦ 8,682,500","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"14,794Km",D,2016,Mercedes-Benz,CLA250,Automatic,Petrol
1509,"₦ 807,500","Ilorin - SNB                                        ,Ilorin",Nigerian Used,"249,095Km",E,2000,Nissan,Almera,Automatic,Petrol
1510,"₦ 470,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"124,771Km",E,2003,Mazda,Mpv,Automatic,Petrol
1511,"₦ 8,795,000",Asaba - SNB,Nigerian Used,"170,391Km",D,2010,Toyota,Hilux,Automatic,Petrol
1512,"₦ 2,607,500","Onitsha - SNB                                        ,Onitsha",Nigerian Used,"109,160Km",C,2008,Es,350 2008,Automatic,Petrol
1513,"₦ 10,145,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"68,131Km",B,2013,Toyota,Land Cruiser Prado,Automatic,Petrol
1514,"₦ 4,520,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"85,502Km",C,2010,Toyota,Venza,Automatic,Petrol
1515,"₦ 1,988,750","SNB                                        ,Owerri",Nigerian Used,"110,203Km",C,2004,LEXUS,ES330,Automatic,Petrol
1516,"₦ 8,970,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"5,866Km",E,2017,Toyota,Sienna,Automatic,Petrol
1517,"₦ 1,482,500","SNB                                        ,Owerri",Nigerian Used,"330,259Km",E,2003,Toyota,Corolla,Automatic,Petrol
1518,"₦ 1,022,500","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"136,642Km",D,2008,Lancer,2008,Automatic,Petrol
1519,"₦ 2,045,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"113,996Km",E,2003,Toyota,Land Cruiser,Automatic,Petrol
1520,"₦ 16,895,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"56,108Km",C,2016,Toyota,Land Cruiser Prado,Automatic,Petrol
1521,"₦ 5,532,500","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"855,883Km",E,2005,Toyota,HiAce,Automatic,Petrol
1522,"₦ 2,362,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"74,776Km",E,2009,Toyota,Rav4,Automatic,Petrol
1523,"₦ 526,250","Abuja - SNB                                        ,Abuja",Nigerian Used,"18,848Km",E,1997,Honda,Odyssey,Automatic,Petrol
1524,"₦ 807,500","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"159,368Km",E,1999,Toyota,Sienna,Automatic,Petrol
1525,"₦ 638,750","Abuja - SNB                                        ,Abuja",Nigerian Used,"338,498Km",D,2004,Ford,Escape,Automatic,Petrol
1526,"₦ 3,057,500","Ibadan - SNB                                        ,Ibadan",Foreign Used,"104,497Km",E,2010,Toyota,Camry,Automatic,Petrol
1527,"₦ 2,157,500","Kaduna SNB                                        ,Kaduna",Foreign Used,"101,212Km",E,2004,Toyota,Corolla,Automatic,Petrol
1528,"₦ 1,482,500","SNB                                        ,Owerri",Nigerian Used,"201,470Km",C,2003,Honda,PILOT,Automatic,Petrol
1529,"₦ 2,045,000","Island - SNB                                        ,Lagos",Nigerian Used,"22,911Km",C,2014,Kia,Rio,Automatic,Petrol
1530,"₦ 5,645,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"82,404Km",D,2013,Toyota,Fortuner,Automatic,Petrol
1531,"₦ 1,145,000",Mainland 3 - SNB,Nigerian Used,"143,808Km",E,2004,Toyota,Avensis,Automatic,Petrol
1532,"₦ 3,170,000","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"50,322Km",D,2009,Toyota,Camry,Automatic,Petrol
1533,"₦ 1,257,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"166,512Km",,2014,Kia,Rio,Automatic,Petrol
1534,"₦ 953,750","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"186,564Km",C,1999,Toyota,Sienna,Automatic,Petrol
1535,"₦ 1,595,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"76,531Km",D,2014,Hyundai,Accent,Automatic,Petrol
1536,"₦ 1,707,500","Island - SNB                                        ,Lagos",Nigerian Used,"130,027Km",E,2013,Toyota,Corolla,Automatic,Petrol
1537,"₦ 1,707,500","Island - SNB                                        ,Lagos",Foreign Used,"289,585Km",E,2003,Honda,Pilot,Automatic,Petrol
1538,"₦ 807,500","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"197,010Km",D,2001,Toyota,Camry,Automatic,Petrol
1539,"₦ 1,426,250","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"67,706Km",D,2008,Honda,Accord,Automatic,Petrol
1540,"₦ 470,000",Mainland 3 - SNB,Nigerian Used,"315,037Km",D,2003,Hyundai,Santa Fe,Automatic,Petrol
1541,"₦ 1,585,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"194,594Km",D,2009,Cx-7,2009,Automatic,Petrol
1542,"₦ 2,551,250","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"160,860Km",D,2008,Mazda,Cx-7,Automatic,Petrol
1543,"₦ 453,125","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"17,599Km",D,2002,Honda,Accord,Automatic,Petrol
1544,"₦ 6,770,000","Ilorin - SNB                                        ,Ilorin",Nigerian Used,"75,228Km",D,2008,Toyota,Tundra,Automatic,Petrol
1545,"₦ 9,807,500",Mainland 3 - SNB,Nigerian Used,"40,696Km",D,2016,Toyota,Highlander,Automatic,Petrol
1546,"₦ 1,763,750","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"90,050Km",D,2006,Land,Rover Range Rover Sport,Automatic,Petrol
1547,"₦ 626,000",Mainland 3 - SNB,Nigerian Used,"212,565Km",D,1998,Honda,Accord,Automatic,Petrol
1548,"₦ 5,082,500","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"69,422Km",C,2009,Toyota,Venza,Automatic,Petrol
1549,"₦ 1,820,000","SNB                                        ,Owerri",Nigerian Used,"180,345Km",D,2008,Toyota,Camry,Automatic,Petrol
1550,"₦ 1,482,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"19,400Km",C,2009,Peugeot,207,Automatic,Petrol
1551,"₦ 2,045,000","Onitsha - SNB                                        ,Onitsha",Nigerian Used,"102,654Km",C,2008,Toyota,Camry,Automatic,Petrol
1552,"₦ 1,303,750","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"119,552Km",E,2005,Hyundai,Tucson,Automatic,Petrol
1553,"₦ 8,682,500","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"107,308Km",D,2013,Toyota,Highlander,Automatic,Petrol
1554,"₦ 863,750","Onitsha - SNB                                        ,Onitsha",Nigerian Used,"280,900Km",D,2002,Toyota,Camry,Automatic,Petrol
1555,"₦ 1,932,500","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"166,403Km",D,2002,Toyota,Sequoia,Automatic,Petrol
1556,"₦ 5,757,500","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"35,907Km",,2015,Volkswagen,Jetta,Automatic,Petrol
1557,"₦ 2,045,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"60,269Km",,2008,Toyota,Sienna,Automatic,Petrol
1558,"₦ 638,750","Onitsha - SNB                                        ,Onitsha",Nigerian Used,"187,665Km",D,2001,Infiniti,Qx,Automatic,Petrol
1559,"₦ 1,482,500","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"164,133Km",E,2006,Toyota,Matrix,Automatic,Petrol
1560,"₦ 1,820,000","Ibadan - SNB                                        ,Ibadan",Foreign Used,"172,326Km",,2004,Toyota,Avensis,Automatic,Petrol
1561,"₦ 1,145,000","Ilorin - SNB                                        ,Ilorin",Nigerian Used,"209,916Km",D,2001,Toyota,Sequoia,Automatic,Petrol
1562,"₦ 2,551,250","Ibadan - SNB                                        ,Ibadan",Foreign Used,"138,988Km",E,2008,Honda,Accord,Automatic,Petrol
1563,"₦ 582,500","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"125,088Km",,1999,Toyota,4Runner,Automatic,Petrol
1564,"₦ 2,270,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"170,205Km",D,2010,Honda,Accord Crosstour,Automatic,Petrol
1565,"₦ 4,520,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"105,025Km",,2014,Ford,Explorer,Automatic,Petrol
1566,"₦ 3,845,000","Abuja - SNB                                        ,Abuja",Foreign Used,"73,160Km",,2007,Lexus,Es 350,Automatic,Petrol
1567,"₦ 4,970,000",Mainland 3 - SNB,Foreign Used,"110,059Km",,2008,Toyota,Highlander,Automatic,Petrol
1568,"₦ 976,250","Island - SNB                                        ,Lagos",Nigerian Used,"131,573Km",D,2004,BMW,5 Series,Automatic,Petrol
1569,"₦ 1,707,500","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"29,955Km",C,2004,Renault,Duster,Automatic,Petrol
1570,"₦ 1,257,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"79,921Km",D,2006,BMW,3 Series,Automatic,Petrol
1571,"₦ 1,707,500","SNB                                        ,Owerri",Nigerian Used,"239,189Km",,2007,Acura,Tl,Automatic,Petrol
1572,"₦ 7,895,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"46,903Km",,2014,Ford,Explorer,Automatic,Petrol
1573,"₦ 1,370,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"159,570Km",,2002,Toyota,Avalon,Automatic,Petrol
1574,"₦ 2,045,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"147,370Km",E,2006,Kia,Sorento,Automatic,Petrol
1575,"₦ 987,500","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"96,992Km",D,2007,Ford,Edge,Automatic,Petrol
1576,"₦ 1,313,750","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"155,913Km",,2003,Toyota,Camry,Automatic,Petrol
1577,"₦ 695,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"226,073Km",,2001,Honda,Odyssey,Automatic,Petrol
1578,"₦ 582,500",Mainland 3 - SNB,Nigerian Used,"147,161Km",E,2003,Nissan,Primera,Automatic,Petrol
1579,"₦ 1,707,500","Abuja - SNB                                        ,Abuja",Nigerian Used,2011,,NG-650383,Toyota,Camry,Automatic,Petrol
1580,"₦ 5,420,000","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"96,769Km",,2011,Toyota,Sienna,Automatic,Petrol
1581,"₦ 1,482,500","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"123,528Km",,2006,Toyota,Camry,Automatic,Petrol
1582,"₦ 1,932,500","Ibadan - SNB                                        ,Ibadan",Foreign Used,"188,727Km",,2005,Honda,Odyssey,Automatic,Petrol
1583,"₦ 2,260,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"158,659Km",E,2007,Mercedes-Benz,Ml350,Automatic,Petrol
1584,"₦ 3,395,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"110,491Km",D,2014,Honda,Accord,Automatic,Petrol
1585,"₦ 5,386,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"153,448Km",D,2015,Toyota,Camry,Automatic,Petrol
1586,"₦ 3,113,750","Onitsha - SNB                                        ,Onitsha",Nigerian Used,"188,027Km",C,2009,Lexus,Rx 350,Automatic,Petrol
1587,"₦ 1,145,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"134,742Km",D,2006,Honda,Accord,Automatic,Petrol
1588,"₦ 1,022,500","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"162,812Km",D,2005,BMW,X5,Automatic,Petrol
1589,"₦ 2,832,500","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"74,289Km",D,2014,Hyundai,Elantra,Automatic,Petrol
1590,"₦ 5,420,000","Island - SNB                                        ,Lagos",Foreign Used,"92,234Km",C,2015,Honda,Accord,Automatic,Petrol
1591,"₦ 3,957,500","SNB                                        ,Owerri",Nigerian Used,"113,346Km",C,2007,Lexus,Es 350,Automatic,Petrol
1592,"₦ 2,945,000","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"102,119Km",C,2005,Lexus,Es,Automatic,Petrol
1593,"₦ 2,720,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,2008,D,NG-646833,Mercedes-Benz,Ml350,Automatic,Petrol
1594,"₦ 5,082,500","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"64,860Km",E,2015,Honda,Accord,Automatic,Petrol
1595,"₦ 863,750","SNB                                        ,Owerri",Nigerian Used,"96,556Km",D,2000,Toyota,Camry,Automatic,Petrol
1596,"₦ 6,545,000","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"46,221Km",D,2015,Toyota,Corolla,Automatic,Petrol
1597,"₦ 3,610,000","Island - SNB                                        ,Lagos",Foreign Used,"120,958Km",E,2011,Honda,Cr-V,Automatic,Petrol
1598,"₦ 5,082,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"43,546Km",D,2013,Honda,Accord,Automatic,Petrol
1599,"₦ 1,088,750","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"143,193Km",C,2004,Volvo,Xc90,Automatic,Petrol
1600,"₦ 3,395,000","Ilorin - SNB                                        ,Ilorin",Nigerian Used,"50,568Km",D,2014,Innoson,IVMG5,Automatic,Petrol
1601,"₦ 1,370,000","SNB                                        ,Owerri",Nigerian Used,"306,395Km",D,2003,Toyota,Camry,Automatic,Petrol
1602,"₦ 3,957,500","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"52,056Km",C,2013,Honda,Accord,Automatic,Petrol
1603,"₦ 413,750","Island - SNB                                        ,Lagos",Nigerian Used,"355,951Km",E,1999,Toyota,Camry,Automatic,Petrol
1604,"₦ 9,582,500","SNB                                        ,Owerri",Nigerian Used,"100,246Km",C,2012,Mercedes-Benz,Gl450,Automatic,Petrol
1605,"₦ 2,438,750","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"48,095Km",,2013,Nissan,Qashqai,Automatic,Petrol
1606,"₦ 4,970,000","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"182,940Km",C,2008,Toyota,Highlander,Automatic,Petrol
1607,"₦ 413,750",Mainland 3 - SNB,Nigerian Used,2000,D,NG-645178,Nissan,Pathfinder,Automatic,Petrol
1608,"₦ 2,832,500","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"263,125Km",E,2009,Ford,Escape,Automatic,Petrol
1609,"₦ 1,932,500","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"118,581Km",C,2011,Hyundai,Ix35,Automatic,Petrol
1610,"₦ 1,145,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"110,768Km",D,2001,Lexus,Rx 300,Automatic,Petrol
1611,"₦ 1,595,000","SNB                                        ,Owerri",Nigerian Used,"219,518Km",D,2001,Lexus,Rx 300,Automatic,Petrol
1612,"₦ 5,982,500","Ibadan - SNB                                        ,Ibadan",Foreign Used,"56,338Km",D,2016,Toyota,Corolla,Automatic,Petrol
1613,"₦ 2,157,500","Abuja - SNB                                        ,Abuja",Foreign Used,"271,284Km",C,2003,Toyota,Corolla,Automatic,Petrol
