,Price,Location,History,Millage,Ratings,Year,Make,Model,Transmission,Fuel
437,"₦ 4,042,000","Island - SNB                                        ,Lagos",Nigerian Used,"167,828Km",C,2013,Mitsubishi,Pajero,Automatic,Petrol
438,"₦ 1,130,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"144,742Km",D,2002,Toyota,Sienna,Automatic,Petrol
439,"₦ 8,970,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"97,954Km",D,2014,Mercedes-Benz,CLA250,Automatic,Petrol
440,"₦ 3,146,000","Ilorin - SNB                                        ,Ilorin",Foreign Used,"86,283Km",C,2009,Mitsubishi,Outlander,Automatic,Petrol
441,"₦ 682,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"187,147Km",D,2003,Honda,Accord,Automatic,Petrol
442,"₦ 3,146,000","Kaduna SNB                                        ,Kaduna",Nigerian Used,"75,437Km",D,2008,Rx,350 2008,Automatic,Petrol
443,"₦ 906,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"261,009Km",D,2002,Volkswagen,Sharan,Automatic,Petrol
444,"₦ 4,490,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"106,434Km",,2010,Lexus,Es,Automatic,Petrol
445,"₦ 987,500","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"243,740Km",D,2009,Kia,Sportage,Automatic,Petrol
446,"₦ 1,354,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"126,305Km",,2006,Nissan,Xterra,Automatic,Petrol
447,"₦ 1,360,000","Abuja - SNB                                        ,Abuja",Foreign Used,"247,226Km",E,2004,Honda,Odyssey,Automatic,Petrol
448,"₦ 1,690,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"155,779Km",,2007,Hyundai,Elantra,Automatic,Petrol
449,"₦ 1,130,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"315,630Km",,2007,Hyundai,Veracruz,Automatic,Petrol
450,"₦ 2,750,000",Abuja LST,Foreign Used,"75,382Km",,2005,Toyota,Sienna,Automatic,Petrol
451,"₦ 5,565,000",Abuja LST,Foreign Used,"70,131Km",,2014,Toyota,Corolla,Automatic,Petrol
452,"₦ 5,985,000",Abuja LST,Foreign Used,"82,705Km",,2008,Toyota,Highlander,Automatic,Petrol
453,"₦ 3,650,000",Abuja LST,Foreign Used,"63,030Km",,2010,Toyota,Camry,Automatic,Petrol
454,"₦ 2,306,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"163,650Km",,2004,Lexus,Gx470,Automatic,Petrol
455,"₦ 22,410,000","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"46,056Km",B,2017,Toyota,Tacoma,Automatic,Petrol
456,"₦ 682,000","Island - SNB                                        ,Lagos",Nigerian Used,"122,623Km",E,2002,Hyundai,Santa Fe,Automatic,Petrol
457,"₦ 1,354,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"178,644Km",D,2005,Acura,Tl,Automatic,Petrol
458,"₦ 2,250,000","Ilorin - SNB                                        ,Ilorin",Nigerian Used,"132,247Km",C,2011,Hyundai,Sonata,Automatic,Petrol
459,"₦ 1,578,000",da011583-84a4-4ef2-9b7e-0b56e6aab4fc,Nigerian Used,"190,273Km",E,2003,Toyota,Corolla,Automatic,Petrol
460,"₦ 2,362,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"183,576Km",E,2007,Lexus,Es 350,Automatic,Petrol
461,"₦ 2,372,500",bb61bf1c-a7d5-4324-aaaa-f4f444fc35a6,Foreign Used,"242,403Km",D,2006,Toyota,Avalon,Automatic,Petrol
462,"₦ 3,930,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"80,554Km",D,2006,Toyota,Land Cruiser Prado,Automatic,Petrol
463,"₦ 2,362,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"92,297Km",E,2007,Toyota,Fj Cruiser,Automatic,Petrol
464,"₦ 962,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"136,588Km",D,2014,Ford,Fiesta,Automatic,Petrol
465,"₦ 6,985,000",Mainland 3 - SNB,Foreign Used,"126,149Km",,2011,Land,Rover Range Rover Sport,Automatic,Petrol
466,"₦ 5,050,000","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"90,152Km",C,2016,Toyota,Corolla,Automatic,Petrol
467,"₦ 1,242,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"165,541Km",D,2004,Toyota,Solara,Automatic,Petrol
468,"₦ 1,130,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"138,914Km",E,1997,Ford,F-150,Automatic,Petrol
469,"₦ 3,168,400","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"37,678Km",D,2007,Mercedes-Benz,Gl450,Automatic,Petrol
470,"₦ 3,818,000","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"130,165Km",E,2008,Lexus,Is 250,Automatic,Petrol
471,"₦ 906,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"201,636Km",D,2004,Hyundai,Santa Fe,Automatic,Petrol
472,"₦ 5,610,000","Onitsha - SNB                                        ,Onitsha",Foreign Used,"153,769Km",C,2012,Mercedes-Benz,C300,Automatic,Petrol
473,"₦ 5,610,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"140,573Km",E,2015,Ford,Explorer,Automatic,Petrol
474,"₦ 4,714,000",Mainland 3 - SNB,Foreign Used,"102,389Km",E,2012,Toyota,Camry,Automatic,Petrol
475,"₦ 2,698,000","Ibadan - SNB                                        ,Ibadan",Foreign Used,"164,880Km",E,2007,Hyundai,Santa Fe,Automatic,Petrol
476,"₦ 626,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"182,520Km",,2001,Nissan,Xterra,Automatic,Petrol
477,"₦ 3,930,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"155,764Km",,2010,Mercedes-Benz,E350,Automatic,Petrol
478,"₦ 2,810,000","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"86,497Km",D,2008,Toyota,Corolla,Automatic,Petrol
479,"₦ 3,482,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"89,421Km",E,2009,Toyota,Sienna,Automatic,Petrol
480,"₦ 1,130,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"130,173Km",E,2003,Toyota,Rav4,Automatic,Petrol
481,"₦ 1,466,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"245,088Km",,2004,Honda,Pilot,Automatic,Petrol
482,"₦ 8,410,000","SNB                                        ,Owerri",Foreign Used,"94,058Km",D,2008,Mercedes-Benz,Gl350,Automatic,Petrol
483,"₦ 5,050,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"99,797Km",,2013,Toyota,Venza,Automatic,Petrol
484,"₦ 2,026,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"157,698Km",D,2008,Toyota,Corolla,Automatic,Petrol
485,"₦ 3,482,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"131,595Km",D,2008,Toyota,Highlander,Automatic,Petrol
486,"₦ 7,850,000","Abuja - SNB                                        ,Abuja",Foreign Used,"138,345Km",C,2012,Toyota,Highlander,Automatic,Petrol
487,"₦ 1,810,000","Abuja - SNB                                        ,Abuja",Nigerian Used,2006,D,NG-713882,Toyota,Avalon,Automatic,Petrol
488,"₦ 2,250,000","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"135,864Km",E,2000,Lexus,Rx 300,Automatic,Petrol
489,"₦ 833,200","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"210,198Km",,2001,Toyota,Land Cruiser,Automatic,Petrol
490,"₦ 1,634,000","Kaduna SNB                                        ,Kaduna",Nigerian Used,"223,655Km",E,2000,BMW,3 Series,Automatic,Petrol
491,"₦ 4,200,000","Abuja - SNB                                        ,Abuja",Foreign Used,"292,164Km",,2010,Audi,A4,Automatic,Petrol
492,"₦ 1,680,000",Abuja LST,Nigerian Used,"164,893Km",,2007,Toyota,Camry,Automatic,Petrol
493,"₦ 1,050,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"287,116Km",,2009,Kia,Optima,Automatic,Petrol
494,"₦ 2,095,000","Abuja - SNB                                        ,Abuja",Foreign Used,"121,599Km",,2007,Toyota,Solara,Automatic,Petrol
495,"₦ 1,466,000","Ilorin - SNB                                        ,Ilorin",Nigerian Used,"114,082Km",,2009,Toyota,Camry,Automatic,Petrol
496,"₦ 514,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"197,503Km",,1998,Honda,Accord,Automatic,Petrol
497,"₦ 1,680,000",Abuja LST,Nigerian Used,"134,786Km",,2004,Toyota,Highlander,Automatic,Petrol
498,"₦ 2,600,000","Abuja - SNB                                        ,Abuja",Foreign Used,"177,341Km",,2007,Honda,Pilot,Automatic,Petrol
499,"₦ 3,750,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"128,454Km",,2013,Ford,Explorer,Automatic,Petrol
500,"₦ 1,970,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"75,203Km",D,2007,Toyota,Camry,Automatic,Petrol
501,"₦ 1,130,000","Island - SNB                                        ,Lagos",Nigerian Used,"109,478Km",E,2005,Volkswagen,Touareg,Automatic,Petrol
502,"₦ 2,698,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"168,597Km",,2006,Toyota,Rav4,Automatic,Petrol
503,"₦ 4,826,000","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"85,284Km",E,2014,Toyota,Camry,Automatic,Petrol
504,"₦ 797,500","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"169,252Km",E,1999,Mercury,Villager,Automatic,Petrol
505,"₦ 5,610,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"196,343Km",C,2012,Toyota,Highlander,Automatic,Petrol
506,"₦ 424,400","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"249,095Km",E,2007,Kia,Cerato,Automatic,Petrol
507,"₦ 1,578,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"123,534Km",E,2004,Toyota,Sienna,Automatic,Petrol
508,"₦ 2,474,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"108,814Km",,2010,Nissan,Altima,Automatic,Petrol
