,Price,city,History,Millage,Ratings,Year,Make,Model,Transmission,Age
92,3315000.0,Lagos,foreign,158427.0,4.900000095367432,2009.0,Toyota,Corolla,Automatic,12.0
93,3060000.0,Lagos,foreign,199373.0,4.699999809265137,2009.0,Toyota,Corolla,Automatic,12.0
94,3015000.0,Lagos,foreign,148134.0,4.900000095367432,2010.0,Mazda,CX-9,Automatic,11.0
95,3215000.0,Lagos,foreign,198529.0,4.800000190734863,2009.0,Toyota,Matrix,Automatic,12.0
96,6015000.0,Lagos,foreign,137371.0,4.900000095367432,2009.0,Toyota,Highlander,Automatic,12.0
97,2615000.0,Lagos,foreign,202171.0,4.800000190734863,2004.0,Acura,MDX,Automatic,17.0
98,3165000.0,Lagos,foreign,103220.0,4.699999809265137,2007.0,Infiniti,FX 35,Automatic,14.0
99,2515000.0,Lagos,foreign,120091.0,4.900000095367432,2006.0,Honda,Pilot,Automatic,15.0
100,10215000.0,Lagos,foreign,108513.0,4.800000190734863,2012.0,Mercedes-Benz,GLK 350,Automatic,9.0
101,4515000.0,Lagos,foreign,131784.0,4.900000095367432,2012.0,Hyundai,Veloster,Automatic,9.0
102,2640000.0,Lagos,foreign,95033.0,4.900000095367432,2004.0,Toyota,Corolla,Automatic,17.0
103,3315000.0,Lagos,foreign,87698.0,4.800000190734863,2009.0,Toyota,Corolla,Automatic,12.0
104,4515000.0,Lagos,foreign,75504.0,4.699999809265137,2008.0,Lexus,IS 250,Automatic,13.0
105,4915000.0,Lagos,foreign,67351.0,4.800000190734863,2012.0,Toyota,Camry,Automatic,9.0
106,4815000.0,Lagos,foreign,37512.0,4.900000095367432,2014.0,Toyota,Camry,Automatic,7.0
107,1165000.0,Lagos,foreign,238747.0,4.699999809265137,1998.0,Toyota,Camry,Automatic,23.0
108,3015000.0,Abuja,foreign,176339.0,4.900000095367432,2007.0,Toyota,Camry,Automatic,14.0
109,3315000.0,Abuja,foreign,88843.0,5.0,2010.0,Toyota,Camry,Automatic,11.0
110,6715000.0,Ogun,local,60193.0,4.599999904632568,2016.0,Ford,Edge,Automatic,5.0
111,5680000.0,Lagos,foreign,40658.0,4.900000095367432,2015.0,Toyota,Corolla,Automatic,6.0
112,2765000.0,Lagos,foreign,195458.0,4.699999809265137,2007.0,Toyota,Sienna,Automatic,14.0
113,8940000.0,Lagos,foreign,70514.0,4.599999904632568,2013.0,Toyota,Avalon,Automatic,8.0
114,7534000.0,Lagos,foreign,138875.0,4.900000095367432,2012.0,Toyota,Venza,Automatic,9.0
115,1485000.0,Lagos,foreign,349539.0,4.900000095367432,2000.0,Opel,Zafira,Automatic,21.0
116,3615000.0,Lagos,foreign,56842.0,4.900000095367432,2011.0,Toyota,Corolla,Automatic,10.0
117,4015000.0,Lagos,foreign,87685.0,4.900000095367432,2011.0,Toyota,Corolla,Automatic,10.0
118,1747500.0,Lagos,foreign,298869.0,4.900000095367432,2001.0,Toyota,Sienna,Automatic,20.0
119,1485000.0,Lagos,foreign,254713.0,4.900000095367432,2000.0,Opel,Zafira,Automatic,21.0
120,3690000.0,Lagos,foreign,66157.0,4.800000190734863,2012.0,Honda,Crosstour,Automatic,9.0
121,6465000.0,Lagos,foreign,118630.0,4.800000190734863,2010.0,Mercedes-Benz,E 350,Automatic,11.0
122,9594000.0,Lagos,foreign,62342.0,5.0,2015.0,Lexus,ES 350,Automatic,6.0
123,6515000.0,Lagos,local,20239.0,4.599999904632568,2012.0,Toyota,Hilux,Automatic,9.0
124,8515000.0,Lagos,local,54510.0,4.599999904632568,2016.0,Mitsubishi,L200,Automatic,5.0
125,8415000.0,Lagos,foreign,127311.0,4.599999904632568,2010.0,Land,Rover Serie III,Automatic,11.0
126,7019000.0,Lagos,foreign,80823.0,4.900000095367432,2007.0,Lexus,GX 470,Automatic,14.0
127,9815000.0,Lagos,foreign,68670.0,4.900000095367432,2014.0,Mercedes-Benz,CLA 250,Automatic,7.0
128,2315000.0,Lagos,foreign,108389.0,4.599999904632568,2007.0,Toyota,Camry,Automatic,14.0
129,4015000.0,Lagos,foreign,96210.0,4.699999809265137,2011.0,Toyota,Camry,Automatic,10.0
130,3115000.0,Lagos,foreign,106637.0,4.800000190734863,2009.0,Toyota,Camry,Automatic,12.0
131,3115000.0,Lagos,foreign,111360.0,4.599999904632568,2007.0,Toyota,Camry,Automatic,14.0
132,3270000.0,Lagos,local,171713.0,4.800000190734863,2008.0,Mercedes-Benz,C 350,Automatic,13.0
133,7015000.0,Lagos,foreign,99092.0,4.900000095367432,2017.0,Toyota,Corolla,Automatic,4.0
134,8615000.0,Lagos,foreign,99092.0,4.900000095367432,2018.0,Toyota,Corolla,Automatic,3.0
135,3015000.0,Lagos,foreign,167581.0,4.599999904632568,2010.0,Hyundai,Elantra,Automatic,11.0
136,7015000.0,Lagos,foreign,80291.0,4.800000190734863,2017.0,Toyota,Corolla,Automatic,4.0
137,2915000.0,Lagos,foreign,22412.0,4.599999904632568,2006.0,Toyota,Avalon,Automatic,15.0
138,3165000.0,Lagos,foreign,131248.0,4.900000095367432,2007.0,Toyota,Camry,Automatic,14.0
139,4215000.0,Lagos,foreign,85043.0,4.900000095367432,2005.0,Toyota,4-Runner,Automatic,16.0
140,4515000.0,Lagos,foreign,79104.0,4.699999809265137,2013.0,Toyota,Camry,Automatic,8.0
141,4425000.0,Lagos,foreign,84674.0,4.900000095367432,2008.0,Acura,MDX,Automatic,13.0
142,4425000.0,Lagos,foreign,61967.0,4.900000095367432,2007.0,Acura,MDX,Automatic,14.0
143,5315000.0,Lagos,local,130247.0,4.900000095367432,2013.0,Toyota,RAV 4,Automatic,8.0
144,4425000.0,Lagos,foreign,91087.0,4.900000095367432,2008.0,Acura,MDX,Automatic,13.0
145,12375000.0,Lagos,foreign,76511.0,4.900000095367432,2010.0,Toyota,Sequoia,Automatic,11.0
146,2015000.0,Lagos,foreign,264951.0,4.800000190734863,2002.0,Toyota,Camry,Automatic,19.0
147,6215000.0,Lagos,foreign,86528.0,4.900000095367432,2012.0,Toyota,Sienna,Automatic,9.0
148,3480000.0,Lagos,foreign,118893.0,5.0,2013.0,Ford,Fusion,Automatic,8.0
149,6215000.0,Lagos,foreign,111897.0,4.900000095367432,2010.0,Honda,Crosstour,Automatic,11.0
150,4815000.0,Lagos,local,125205.0,4.900000095367432,2011.0,Toyota,Sienna,Automatic,10.0
151,14805000.0,Lagos,foreign,133977.0,5.0,2013.0,Mercedes-Benz,GL 450,Automatic,8.0
152,1615000.0,Lagos,local,102641.0,4.599999904632568,2005.0,Toyota,Camry,Automatic,16.0
153,1815000.0,Lagos,foreign,212328.0,4.699999809265137,2008.0,Nissan,Altima,Automatic,13.0
154,3265000.0,Lagos,foreign,100000.0,4.800000190734863,2009.0,Mazda,CX-9,Automatic,12.0
155,4415000.0,Lagos,foreign,107255.0,4.800000190734863,2009.0,Acura,MDX,Automatic,12.0
156,6815000.0,Lagos,foreign,55284.0,4.900000095367432,2013.0,Toyota,Avalon,Automatic,8.0
157,3815000.0,Lagos,foreign,162717.0,4.900000095367432,2008.0,Lexus,IS 250,Automatic,13.0
158,3015000.0,Lagos,foreign,145511.0,4.900000095367432,2009.0,Toyota,Camry,Automatic,12.0
159,4015000.0,Lagos,foreign,80129.0,4.900000095367432,2008.0,Lexus,ES 350,Automatic,13.0
160,5815000.0,Lagos,foreign,106404.0,4.900000095367432,2014.0,Honda,Crosstour,Automatic,7.0
161,4215000.0,Lagos,foreign,107255.0,4.800000190734863,2007.0,Acura,MDX,Automatic,14.0
162,2415000.0,Lagos,foreign,210320.0,4.900000095367432,2003.0,Toyota,Camry,Automatic,18.0
163,3015000.0,Lagos,foreign,177930.0,5.0,2008.0,Toyota,Sienna,Automatic,13.0
164,4015000.0,Lagos,foreign,119424.0,4.5,2003.0,Cadillac,Escalade,Automatic,18.0
165,3815000.0,Lagos,foreign,248977.0,4.800000190734863,2004.0,Lexus,RX 330,Automatic,17.0
166,3515000.0,Abuja,foreign,52384.0,5.0,2007.0,Toyota,Sienna,Automatic,14.0
167,3915000.0,Lagos,foreign,149274.0,4.800000190734863,2006.0,Toyota,Tundra,Automatic,15.0
168,3415000.0,Abuja,foreign,698552.0,4.900000095367432,2009.0,Volkswagen,Tiguan,Automatic,12.0
169,2215000.0,Abuja,foreign,690021.0,4.900000095367432,2007.0,Honda,Accord,Automatic,14.0
171,10419000.0,Lagos,foreign,107455.0,4.900000095367432,2013.0,Lexus,RX 350,Automatic,8.0
172,4950000.0,Lagos,foreign,161622.0,4.900000095367432,2008.0,Toyota,Highlander,Automatic,13.0
173,2815000.0,Lagos,foreign,115327.0,4.199999809265137,2005.0,Toyota,Sienna,Automatic,16.0
174,3615000.0,Abuja,foreign,137618.0,5.0,2010.0,Kia,Soul,Automatic,11.0
175,3665000.0,Abuja,foreign,35154.0,5.0,2011.0,Toyota,Camry,Automatic,10.0
176,3165000.0,Abuja,foreign,78978.0,5.0,2007.0,Toyota,Camry,Automatic,14.0
177,1665000.0,Abuja,foreign,99873.0,5.0,2008.0,Peugeot,307,Automatic,13.0
178,2715000.0,Lagos,foreign,154488.0,4.5,2004.0,Toyota,Sienna,Automatic,17.0
179,5665000.0,Abuja,foreign,55201.0,5.0,2014.0,Toyota,Camry,Automatic,7.0
180,3665000.0,Abuja,foreign,35124.0,5.0,2011.0,Toyota,Camry,Automatic,10.0
181,11015000.0,Abuja,foreign,83998.0,5.0,2013.0,Lexus,RX 350,Automatic,8.0
182,4215000.0,Lagos,foreign,250577.0,4.599999904632568,2010.0,Mercedes-Benz,C 300,Automatic,11.0
183,4215000.0,Abuja,foreign,556602.0,4.900000095367432,2006.0,Lexus,IS 250,Automatic,15.0
184,2815000.0,Lagos,local,114300.0,4.400000095367432,2003.0,Lexus,GX 470,Automatic,18.0
185,615000.0,Abuja,local,241565.0,4.400000095367432,1998.0,Honda,Accord,Automatic,23.0
186,2315000.0,Abuja,foreign,85607.0,4.900000095367432,2005.0,Toyota,Camry,Automatic,16.0
187,3015000.0,Abuja,foreign,105994.0,5.0,2007.0,Toyota,Camry,Automatic,14.0
188,4415000.0,Lagos,foreign,85119.0,4.800000190734863,2009.0,Acura,MDX,Automatic,12.0
189,12215000.0,Abuja,foreign,22936.0,5.0,2013.0,Mercedes-Benz,E 350,Automatic,8.0
190,4015000.0,Lagos,foreign,184837.0,4.300000190734863,2008.0,Acura,MDX,Automatic,13.0
191,12615000.0,Lagos,foreign,74848.0,4.900000095367432,2014.0,Mercedes-Benz,GL 450,Automatic,7.0
192,4715000.0,Lagos,foreign,70441.0,4.800000190734863,2006.0,Lexus,RX 350,Automatic,15.0
193,3515000.0,Lagos,foreign,50821.0,4.900000095367432,2012.0,Honda,Accord,Automatic,9.0
194,2815000.0,Lagos,foreign,104105.0,4.800000190734863,2008.0,Honda,Accord,Automatic,13.0
195,2415000.0,Lagos,foreign,256508.0,4.900000095367432,2001.0,Mercedes-Benz,C 200,Automatic,20.0
196,14515000.0,Lagos,foreign,58282.0,5.0,2012.0,Mercedes-Benz,ML 350,Automatic,9.0
197,4015000.0,Lagos,foreign,77542.0,4.900000095367432,2004.0,Toyota,4-Runner,Automatic,17.0
198,4845000.0,Lagos,foreign,89545.0,4.599999904632568,2007.0,Lexus,RX 350,Automatic,14.0
199,1590000.0,Lagos,local,76443.0,4.199999809265137,2006.0,Toyota,RAV 4,Automatic,15.0
200,5265000.0,Lagos,foreign,166024.0,4.599999904632568,2012.0,Toyota,Camry,Automatic,9.0
201,9115000.0,Lagos,foreign,151340.0,4.599999904632568,2013.0,Mercedes-Benz,GLK 350,Automatic,8.0
202,16015000.0,Lagos,foreign,55708.0,4.800000190734863,2018.0,Toyota,Camry,Automatic,3.0
203,13015000.0,Lagos,foreign,185816.0,4.800000190734863,2014.0,Mercedes-Benz,ML 350,Automatic,7.0
204,3585000.0,Lagos,foreign,82678.0,4.699999809265137,2009.0,Toyota,Corolla,Automatic,12.0
205,25015000.0,Lagos,foreign,48140.0,4.900000095367432,2014.0,Land,Rover Range Rover,Automatic,7.0
206,4320000.0,Lagos,local,284817.0,4.800000190734863,2008.0,Lexus,ES 350,Automatic,13.0
207,4950000.0,Lagos,foreign,162368.0,4.900000095367432,2012.0,Toyota,Camry,Automatic,9.0
208,5865000.0,Abuja,local,228000.0,4.900000095367432,2010.0,Toyota,Hiace,Automatic,11.0
209,4425000.0,Lagos,foreign,162072.0,4.900000095367432,2009.0,Lexus,GS 350,Automatic,12.0
210,3015000.0,Lagos,foreign,225674.0,4.900000095367432,2005.0,Toyota,Sienna,Automatic,16.0
211,3815000.0,Lagos,foreign,210131.0,4.900000095367432,2005.0,Toyota,Highlander,Automatic,16.0
212,24515000.0,Lagos,foreign,48686.0,5.0,2018.0,Lexus,RX 350,Automatic,3.0
213,4315000.0,Lagos,foreign,171574.0,4.900000095367432,2007.0,Lexus,ES 350,Automatic,14.0
214,14015000.0,Lagos,foreign,118219.0,5.0,2015.0,Mercedes-Benz,GLA 250,Automatic,6.0
215,2220000.0,Lagos,foreign,85778.0,5.0,2004.0,Toyota,Camry,Automatic,17.0
216,5215000.0,Abuja,foreign,55858.0,5.0,2010.0,Toyota,Sienna,Automatic,11.0
217,16845000.0,Lagos,foreign,6291.0,4.900000095367432,2020.0,Toyota,Corolla,Automatic,1.0
218,3690000.0,Lagos,foreign,177568.0,4.900000095367432,2012.0,Hyundai,Elantra,Automatic,9.0
219,5515000.0,Abuja,foreign,72251.0,5.0,2015.0,Toyota,Corolla,Automatic,6.0
220,25515000.0,Lagos,foreign,52837.0,4.900000095367432,2017.0,Mercedes-Benz,E 300,Automatic,4.0
221,22515000.0,Lagos,foreign,28160.0,4.900000095367432,2015.0,Toyota,Landcruiser Prado,Automatic,6.0
222,4215000.0,Lagos,foreign,93887.0,4.599999904632568,2006.0,Volkswagen,Golf,Automatic,15.0
223,6815000.0,Lagos,foreign,55647.0,4.699999809265137,2008.0,Toyota,Sequoia,Automatic,13.0
