Id,city,History,Millage,Ratings,Year,Make,Model,Transmission,Age,Price
145,Lagos,foreign,88443,4.7,2007,Lexus,ES 350,Automatic,13,3975000
146,Lagos,foreign,75248,4.9,2004,Toyota,RAV 4,Automatic,16,2315000
147,Lagos,local,139574,4,2007,Lexus,ES 350,Automatic,13,2545000
148,Ogun,local,66812,4.9,2011,Kia,Picanto,Automatic,9,647500
149,Lagos,foreign,136445,4.9,2005,Toyota,Sienna,Automatic,15,2775000
150,Lagos,foreign,138050,5,2013,Lexus,ES 350,Automatic,7,7495000
151,Lagos,foreign,79043,4.9,2013,Toyota,Corolla,Automatic,7,3535000
152,Lagos,foreign,88962,5,2010,Acura,ZDX,Automatic,10,7055000
153,Lagos,foreign,85469,4.9,2007,Volkswagen,Golf,Automatic,13,2200000
154,Lagos,foreign,0,4.9,2009,Toyota,Highlander,Automatic,11,5075000
155,Lagos,foreign,49883,4.9,2017,Toyota,Highlander,Automatic,3,18165000
156,Lagos,foreign,69666,4.9,2014,Honda,Accord,Automatic,6,4305000
157,Lagos,foreign,101990,4.9,2016,Toyota,RAV 4,Automatic,4,10245000
158,Lagos,foreign,17346,4.9,2018,Toyota,Camry,Automatic,2,12775000
159,Lagos,foreign,50304,4.9,2017,Toyota,Highlander,Automatic,3,18165000
160,Lagos,foreign,180293,4.7,2007,Ford,Escape,Automatic,13,1912500
161,Lagos,foreign,133295,5,2010,Mercedes-Benz,GLK 350,Automatic,10,7165000
162,Lagos,foreign,131168,5,2015,Toyota,Camry,Automatic,5,7605000
163,Lagos,foreign,130000,5,2010,Toyota,Camry,Automatic,10,3480000
164,Lagos,foreign,52442,5,2013,Toyota,Venza,Automatic,7,9255000
165,Lagos,foreign,2878,5,2019,Toyota,Camry,Automatic,1,25315000
167,Lagos,foreign,38264,4.9,2018,Toyota,RAV 4,Automatic,2,11345000
168,Lagos,foreign,6381,4.9,2019,Toyota,RAV 4,Automatic,1,17945000
169,Lagos,foreign,44669,5,2017,Toyota,Sienna,Automatic,3,13765000
170,Lagos,foreign,81505,4.8,2011,Toyota,RAV 4,Automatic,9,4085000
171,Lagos,foreign,95850,4.7,2010,Toyota,Sienna,Automatic,10,3120000
172,Lagos,foreign,81463,4.6,2003,Lexus,GX 470,Automatic,17,4965000
173,Lagos,foreign,80578,4.8,2005,Toyota,Highlander,Automatic,15,3535000
174,Lagos,foreign,38221,5,2016,Lexus,RX 350,Automatic,4,17065000
175,Lagos,local,373703,3.9,2004,Toyota,Sienna,Automatic,16,1452500
176,Lagos,foreign,108410,5,2013,Toyota,4-Runner,Automatic,7,9585000
177,Lagos,foreign,143705,4.9,2014,Acura,RDX,Automatic,6,6065000
178,Lagos,foreign,90928,5,2008,Lexus,GS 350,Automatic,12,4195000
179,Lagos,foreign,9986,5,2019,Mercedes-Benz,GLE 450,Automatic,1,47315000
180,Lagos,foreign,52485,5,2014,Land,Rover Range Rover Sport,Automatic,6,25315000
181,Ogun,foreign,136890,4.9,2004,Toyota,RAV 4,Automatic,16,2315000
182,Lagos,foreign,117497,4.7,2011,Toyota,Highlander,Automatic,9,5955000
183,Lagos,foreign,83641,4.9,2008,Toyota,Yaris,Automatic,12,2085000
184,Lagos,foreign,98424,4.8,2004,Toyota,4-Runner,Automatic,16,3865000
185,Lagos,foreign,178388,4.8,2005,Toyota,Camry,Automatic,15,2200000
186,Lagos,local,134971,4.7,2016,Honda,Pilot,Automatic,4,8815000
187,Lagos,foreign,102486,4.9,2004,Toyota,Camry,Automatic,16,2085000
188,Lagos,local,72791,4.5,2009,Toyota,Venza,Automatic,11,4415000
189,Lagos,foreign,62710,4.9,2016,Toyota,Highlander,Automatic,4,15415000
190,Lagos,foreign,220748,4.8,2007,Toyota,RAV 4,Automatic,13,3645000
191,Lagos,foreign,85441,4.9,2004,Lexus,RX 330,Automatic,16,4415000
192,Lagos,foreign,309306,5,2007,Lexus,RX 350,Automatic,13,4360000
193,Lagos,foreign,138290,4.8,2012,Toyota,Corolla,Automatic,8,3535000
194,Lagos,local,245417,4.1,1998,Toyota,Camry,Automatic,22,590000
195,Lagos,foreign,186153,4.9,2010,Ford,Edge,Automatic,10,3865000
196,Lagos,foreign,69987,4.9,2012,Mercedes-Benz,C 300,Automatic,8,5955000
197,Lagos,foreign,105357,5,2007,Honda,Pilot,Automatic,13,3005000
198,Lagos,local,77038,4.9,2004,Toyota,4-Runner,Automatic,16,1625000
199,Lagos,foreign,69696,4.9,2010,BMW,335,Automatic,10,3645000
